,,
2,2,-86.95
4,3,-84.667
5,3,-82.024
6,1,-75.415
7,3,-82.255
8,1,-82.18
9,3,-82.663
12,1,-82.387
15,2,-78.69
16,2,-82.999
17,1,-53.74
18,1,-82.916
22,3,-103.11
23,3,-102.61
26,3,-85.55
27,3,-85.579
28,2,-85.226
29,2,-83.321
30,1,-104.37
32,3,-83.49
34,2,-83.848
35,1,-105.61
36,3,-79.874
37,3,-73.724
40,1,-81.852
42,3,-103.81
43,3,-78.525
44,3,-83.726
45,3,-85.728
46,2,-84.178
47,1,-83.558
51,2,-86.512
52,3,-81.365
53,3,-83.423
54,1,-82.771
55,2,-83.294
56,2,-84.147
58,1,-102.68
61,3,-87.511
63,2,-82.312
65,2,-82.808
67,3,-82.639
69,3,-84.532
71,3,-100.56
74,3,-82.425
75,1,-83.188
75,2,-84.409
76,3,-82.387
77,1,-83.001
78,2,-86.055
79,1,-82.646
81,3,-78.725
84,1,-82.155
86,3,-94.233
89,1,-80.272
90,1,-83.164
91,3,-105.34
2,2,-86.879
4,3,-85.539
5,3,-82.071
6,1,-78.949
7,3,-82.379
8,1,-81.964
9,3,-83.671
12,1,-82.543
15,2,-78.75
16,2,-82.948
17,1,-55.875
18,1,-83.05
22,3,-102.61
23,3,-102.43
26,3,-84.91
27,3,-85.308
28,2,-84.006
29,2,-83.281
30,1,-104.88
32,3,-83.989
34,2,-83.764
36,3,-77.488
37,3,-76.846
40,1,-82.898
41,1,-81.685
43,3,-103.29
44,3,-100.09
45,3,-83.893
46,3,-86.544
47,2,-84.758
48,1,-84.174
52,2,-87.227
54,3,-83.374
55,1,-82.62
56,2,-83.575
57,2,-85.058
59,1,-102.83
62,3,-87.386
64,1,-87.354
64,2,-82.657
66,2,-82.781
70,3,-80.278
72,3,-100.7
75,3,-82.514
76,1,-83.599
76,2,-83.856
77,3,-82.497
78,1,-83.239
79,2,-84.629
80,1,-82.594
82,3,-79.482
85,1,-82.119
88,3,-93.035
91,1,-78.665
92,1,-83.482
93,3,-105.69
94,1,-105.64
97,3,-88.601
2,2,-86.853
4,3,-86.324
5,3,-82.106
6,1,-79.289
7,3,-82.447
8,1,-81.875
9,3,-85.294
12,1,-82.652
15,2,-79.316
16,2,-83.002
17,1,-56.665
18,1,-83.268
22,3,-102.29
23,3,-102.34
26,3,-83.425
27,3,-85.051
28,2,-82.504
29,2,-83.246
30,1,-105.35
32,3,-82.831
34,2,-83.746
36,3,-79.38
37,3,-76.249
40,1,-85.439
41,1,-82.003
43,3,-102.84
44,3,-100.38
45,3,-84.028
46,3,-83.123
47,2,-85.403
48,1,-84.646
53,2,-87.791
55,3,-83.354
56,1,-82.566
57,2,-83.926
58,2,-86.066
60,1,-102.86
63,3,-87.285
65,1,-86.664
65,2,-83.125
67,2,-82.735
70,2,-83.583
72,3,-77.707
74,3,-99.969
77,3,-82.637
78,1,-84.073
78,2,-83.372
79,3,-82.597
80,1,-83.486
81,2,-82.908
82,1,-82.577
84,3,-80.324
87,1,-82.21
87,2,-86.243
90,3,-91.801
93,1,-76.951
94,1,-83.733
2,1,-87.154
2,2,-86.857
4,3,-86.805
5,3,-82.143
6,1,-77.831
7,3,-82.49
8,1,-81.893
9,3,-86.395
12,1,-82.638
15,2,-80.04
16,2,-83.145
17,1,-59.478
18,1,-83.127
22,3,-102.14
23,3,-79.904
26,3,-82.206
27,3,-84.663
28,2,-80.847
29,2,-83.161
32,3,-81.112
34,2,-83.734
36,3,-75.113
37,3,-75.705
40,1,-86.509
41,1,-83.6
43,3,-102.53
44,3,-100.72
45,3,-84.135
