,
1,17
2,14
3,26
1,19
2,14
3,25
1,18
2,16
3,23
1,18
2,16
3,21
1,19
2,18
3,21
1,20
2,17
3,22
1,20
2,16
3,23
1,19
2,15
3,23
1,23
2,15
3,22
1,21
2,14
3,23
1,21
2,15
3,24
1,21
2,15
3,23
1,21
2,16
3,21
1,21
2,17
3,21
1,20
2,17
3,22
1,20
2,16
3,23
1,19
2,16
3,21
1,18
2,17
3,23
1,19
2,16
3,23
1,20
2,16
3,26
1,20
2,14
3,26
1,20
2,12
3,24
1,18
2,14
3,22
1,20
2,15
3,24
1,20
2,14
3,24
1,20
2,11
3,24
1,22
2,11
3,25
1,20
2,7
3,23
1,18
2,10
3,21
1,17
2,12
3,21
1,19
2,14
3,23
1,16
2,14
3,23
1,16
2,6
3,21
1,20
2,11
3,20
1,16
2,12
3,19
1,21
2,13
3,20
1,19
2,12
3,23
1,18
2,12
3,23
1,19
2,11
3,24
1,19
2,11
3,23
1,19
2,11
3,23
1,19
2,10
3,23
1,19
2,9
3,21
1,16
2,9
3,20
1,18
2,9
3,21
1,17
2,9
3,21
1,15
2,9
3,19
1,17
2,9
3,21
1,17
2,10
3,23
1,16
2,11
3,21
1,17
2,11
3,21
1,17
2,12
3,21
1,16
2,13
3,21
1,17
2,14
3,21
1,15
2,11
3,18
1,17
2,11
3,20
1,16
2,12
3,21
1,15
2,12
3,21
1,15
2,10
3,22
1,14
2,12
3,24
1,15
2,11
3,25
1,15
2,12
3,23
1,14
2,12
3,23
1,15
2,12
3,21
1,14
2,7
3,21
1,13
2,14
3,22
1,14
2,13
3,22
1,14
2,13
3,22
1,15
2,13
3,22
1,16
2,14
3,20
1,16
2,16
3,23
1,16
2,15
3,22
1,17
2,15
3,21
1,17
2,15
3,23
1,18
2,16
3,23
1,17
2,16
3,24
1,15
2,14
3,24
1,15
2,14
3,24
1,15
2,8
3,23
1,15
2,13
3,24
1,13
2,13
3,24
1,12
2,16
3,22
1,14
2,14
3,24
1,15
2,17
3,24
1,15
2,16
3,24
1,14
2,15
3,22
1,13
2,15
3,22
1,14
2,15
3,21
1,13
2,15
3,20
1,14
2,15
3,21
1,13
2,15
3,21
1,13
2,16
3,22
1,14
2,16
3,21
1,14
2,17
3,20
1,16
2,16
3,22
1,15
2,15
3,21
1,17
2,16
3,23
1,17
2,15
3,21
1,20
2,6
3,22
1,18
2,13
3,23
1,18
2,14
3,21
1,18
2,15
3,21
1,19
2,15
3,20
1,18
2,16
3,19
1,20
2,12
3,20
1,19
2,14
3,19
1,19
2,13
3,18
1,16
2,14
3,20
1,17
2,14
3,20
1,17
2,13
3,19
1,18
2,8
3,19
1,18
2,13
3,18
1,18
2,12
3,19
1,17
2,13
3,20
1,19
2,13
3,20
1,19
2,14
3,21
1,20
2,15
3,22
1,20
2,15
3,21
1,19
2,14
3,22
1,17
2,14
3,22
1,18
2,14
3,21
1,18
2,14
3,23
1,19
2,14
3,24
1,18
2,14
3,22
1,17
2,14
3,23
1,17
2,15
3,23
1,18
2,14
3,22
1,18
2,12
3,22
1,16
2,12
3,22
1,17
2,14
3,22
1,18
2,14
3,22
1,20
2,13
3,19
1,20
2,14
3,23
1,17
2,13
3,24
1,19
2,13
3,23
1,16
2,14
3,24
1,17
2,13
3,24
1,19
2,14
3,25
1,18
2,14
3,24
1,17
2,14
3,26
1,18
2,14
3,26
1,18
2,14
3,23
1,18
2,6
3,23
1,18
2,12
3,23
1,17
2,12
3,22
1,16
2,12
3,19
1,16
2,12
3,20
1,17
2,12
3,17
1,15
2,12
3,17
1,15
2,12
3,17
1,18
2,11
3,17
1,15
2,11
3,18
1,14
2,11
3,18
1,12
2,13
3,19
1,12
2,13
3,17
1,13
2,13
3,18
1,12
2,13
3,18
1,11
2,13
3,19
1,12
2,14
3,20
1,13
2,14
3,20
1,13
2,14
3,18
1,13
2,14
3,19
1,14
2,14
3,19
1,13
2,13
3,19
1,13
2,13
3,18
1,13
2,12
3,20
1,13
2,14
3,19
1,12
2,13
3,19
1,14
2,15
3,20
1,14
2,15
3,20
1,14
2,15
3,18
1,15
2,12
3,20
1,14
2,11
3,22
1,17
2,15
3,21
1,16
2,16
3,22
1,16
2,18
3,21
1,12
2,17
3,21
1,15
2,16
3,21
1,16
2,16
3,21
1,16
2,7
3,20
1,18
2,16
3,20
1,16
2,17
3,20
1,16
2,16
3,21
1,16
2,15
3,21
1,16
2,15
3,20
1,15
2,16
3,19
1,15
2,16
3,19
1,15
2,16
3,18
1,14
2,16
3,18
1,15
2,16
3,18
1,14
2,15
3,19
1,14
2,15
3,18
1,14
2,16
3,18
1,16
2,16
3,15
1,17
2,15
3,15
1,17
2,16
3,17
1,15
2,16
3,18
1,15
2,16
3,19
1,15
2,16
3,20
1,14
2,16
3,20
